1,0,30008,39554,10143,21281,39874,38379,21083,27573,44241,28332,22597,25498,0
2,1000,27380,42315,11496,21979,37064,38911,23705,21318,44612,27919,24805,24814,0
3,2000,24595,44203,15030,22863,34623,38869,26777,16253,43817,27338,26850,24587,0
4,3000,21920,45040,20395,23857,32767,38253,30004,12857,41935,26643,28545,24842,0
5,4000,19625,44745,27041,24867,31659,37126,33073,11463,39148,25897,29728,25558,0
6,5000,17936,43344,34325,25782,31422,35612,35672,12216,35735,25182,30276,26657,0
7,6000,17017,40962,41557,26513,32088,33851,37554,15037,32026,24564,30143,28029,0
8,7000,16952,37849,48014,26998,33593,31998,38537,19655,28376,24102,29328,29557,0
9,8000,17749,34310,53059,27187,35772,30250,38521,25610,25155,23843,27922,31076,0
10,9000,19341,30679,56193,27058,38405,28793,37507,32317,22677,23810,26070,32437,0
11,10000,21563,27316,57130,26621,41274,27748,35596,39141,21176,24010,23932,33514,0
12,11000,24192,24555,55774,25923,44086,27215,32973,45396,20805,24423,21723,34199,0
13,12000,26979,22667,52237,25039,46528,27256,29902,50461,21599,25003,19677,34427,0
14,13000,29654,21829,46872,24045,48384,27873,26674,53858,23481,25699,17983,34172,0
15,14000,31948,22125,40227,23032,49495,29001,23604,55252,26269,26445,16798,33454,0
16,15000,33636,23528,32942,22117,49732,30515,21005,54499,29683,27161,16249,32355,0
17,16000,34555,25910,25709,21387,49065,32276,19124,51677,33392,27779,16383,30983,0
18,17000,34620,29023,19253,20902,47557,34132,18141,47058,37043,28241,17199,29454,0
19,18000,33823,32560,14211,20713,45376,35880,18158,41102,40263,28500,18608,27934,0
20,19000,32231,36190,11079,20843,42741,37336,19172,34395,42740,28532,20460,26574,0
21,20000,30008,39554,10143,21281,39874,38379,21083,27573,44241,28332,22597,25498,0
22,21000,27380,42315,11496,21979,37064,38911,23705,21318,44612,27919,24805,24814,0
23,22000,24595,44203,15030,22863,34623,38869,26777,16253,43817,27338,26850,24587,0
24,23000,21920,45040,20395,23857,32767,38253,30004,12857,41935,26643,28545,24842,0
25,24000,19625,44745,27041,24867,31659,37126,33073,11463,39148,25897,29728,25558,0
26,25000,17936,43344,34325,25782,31422,35612,35672,12216,35735,25182,30276,26657,0
27,26000,17017,40962,41557,26513,32088,33851,37554,15037,32026,24564,30143,28029,0
28,27000,16952,37849,48014,26998,33593,31998,38537,19655,28376,24102,29328,29557,0
29,28000,17749,34310,53059,27187,35772,30250,38521,25610,25155,23843,27922,31076,0
30,29000,19341,30679,56193,27058,38405,28793,37507,32317,22677,23810,26070,32437,0
31,30000,21563,27316,57130,26621,41274,27748,35596,39141,21176,24010,23932,33514,0
32,31000,24192,24555,55774,25923,44086,27215,32973,45396,20805,24423,21723,34199,0
33,32000,26979,22667,52237,25039,46528,27256,29902,50461,21599,25003,19677,34427,0
34,33000,29654,21829,46872,24045,48384,27873,26674,53858,23481,25699,17983,34172,0
35,34000,31948,22125,40227,23032,49495,29001,23604,55252,26269,26445,16798,33454,0
36,35000,33636,23528,32942,22117,49732,30515,21005,54499,29683,27161,16249,32355,0
37,36000,34555,25910,25709,21387,49065,32276,19124,51677,33392,27779,16383,30983,0
38,37000,34620,29023,19253,20902,47557,34132,18141,47058,37043,28241,17199,29454,0
39,38000,33823,32560,14211,20713,45376,35880,18158,41102,40263,28500,18608,27934,0
40,39000,32231,36190,11078,20843,42741,37336,19172,34395,42740,28532,20460,26574,0
41,40000,30008,39554,10143,21281,39874,38379,21083,27573,44241,28332,22597,25498,0
42,41000,27380,42315,11496,21979,37064,38911,23705,21318,44612,27919,24805,24814,0
43,42000,24595,44203,15030,22863,34623,38869,26777,16253,43817,27338,26850,24587,0
44,43000,21920,45040,20395,23857,32767,38253,30004,12857,41935,26643,28545,24842,0
45,44000,19625,44745,27041,24867,31659,37126,33073,11463,39148,25897,29728,25558,0
46,45000,17936,43344,34325,25782,31422,35612,35672,12216,35735,25182,30276,26657,0
47,46000,17017,40962,41557,26513,32088,33851,37554,15037,32026,24564,30143,28029,0
48,47000,16952,37849,48014,26998,33593,31998,38537,19655,28376,24102,29328,29557,0
49,48000,17749,34310,53059,27187,35772,30250,38521,25610,25155,23843,27922,31076,0
50,49000,19341,30679,56193,27058,38405,28793,37507,32317,22677,23810,26070,32437,0
51,50000,21563,27316,57130,26621,41274,27748,35596,39141,21176,24010,23932,33514,0
52,51000,24192,24555,55774,25923,44086,27215,32973,45396,20805,24423,21723,34199,0
53,52000,26979,22667,52237,25039,46528,27256,29902,50461,21599,25003,19677,34427,0
54,53000,29654,21829,46872,24045,48384,27873,26674,53858,23481,25699,17983,34172,0
55,54000,31948,22125,40227,23032,49495,29001,23604,55252,26269,26445,16798,33454,0
56,55000,33636,23528,32942,22117,49732,30515,21005,54499,29683,27161,16249,32355,0
57,56000,34555,25910,25709,21387,49065,32276,19124,51677,33392,27779,16383,30983,0
