1,0,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
2,1000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
3,2000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
4,3000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
5,4000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
6,5000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
7,6000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
8,7000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
9,8000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
10,9000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
11,10000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
12,11000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
13,12000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
14,13000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
15,14000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
16,15000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
17,16000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
18,17000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
19,18000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
20,19000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
21,20000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
22,21000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
23,22000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
24,23000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
25,24000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
26,25000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
27,26000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
28,27000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
29,28000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
30,29000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
31,30000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
32,31000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
33,32000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
34,33000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
35,34000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
36,35000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
37,36000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
38,37000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
39,38000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
40,39000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
41,40000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
42,41000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
43,42000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
44,43000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
45,44000,57362,19008,31422,29695,35823,37142,21822,37255,32748,32367,23110,27094,32367,23110,27094,0
46,45000,57305,21218,28431,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
47,46000,55157,23700,26133,28595,34206,41806,20929,32579,44516,33681,23849,23268,33681,23849,23268,0
48,47000,51102,26223,24754,28884,33076,43657,22218,29666,48661,33700,24445,21588,33700,24445,21588,0
49,48000,45558,28535,24422,29717,31858,44956,24534,26732,51079,33270,25125,20278,33270,25125,20278,0
50,49000,39084,30406,25167,31004,30678,45578,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
51,50000,32290,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
52,51000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
53,52000,20365,31874,32714,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
54,53000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
55,54000,14383,29103,39552,39070,28730,38719,43576,21773,29085,25959,27423,23752,25959,27423,23752,0
56,55000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
57,56000,16586,24410,44842,40171,30345,34057,44470,26449,17318,24644,26685,27576,24644,26685,27576,0
58,57000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
59,58000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
60,59000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
61,60000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
62,61000,45913,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
63,62000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
64,63000,55322,17288,34813,30961,36142,34826,23913,38557,26296,31201,23046,28845,31201,23046,28845,0
65,64000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
66,65000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
67,66000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
68,67000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
69,68000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
70,69000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
71,70000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
72,71000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
73,72000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
74,73000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
75,74000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
76,75000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
77,76000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
78,77000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
79,78000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
80,79000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
81,80000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
82,81000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
83,82000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
84,83000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
85,84000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
86,85000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
87,86000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
88,87000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
89,88000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
90,89000,39084,30406,25167,31004,30678,45578,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
91,90000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
92,91000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
93,92000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
94,93000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
95,94000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
96,95000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
97,96000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
98,97000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
99,98000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
100,99000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
101,100000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
102,101000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
103,102000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
104,103000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
105,104000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
106,105000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
107,106000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
108,107000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
109,108000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
110,109000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
111,110000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
112,111000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
113,112000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
114,113000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
115,114000,14382,29103,39552,39070,28730,38719,43576,21773,29086,25959,27423,23752,25959,27423,23752,0
116,115000,14438,26894,42544,39888,29399,36305,44607,23834,22799,25102,27145,25679,25102,27145,25679,0
117,116000,16587,24410,44842,40171,30345,34057,44470,26449,17319,24644,26685,27576,24644,26685,27576,0
118,117000,20642,21887,46222,39884,31475,32205,43181,29362,13173,24625,26089,29256,24625,26089,29256,0
119,118000,26184,19576,46555,39051,32693,30905,40864,32296,10755,25054,25408,30566,25054,25408,30566,0
120,119000,32660,17704,45809,37764,33874,30282,37749,34956,10313,25888,24713,31373,25888,24713,31373,0
121,120000,39457,16457,44045,36159,34887,30411,34144,37078,11889,27033,24075,31599,27033,24075,31599,0
122,121000,45914,15952,41441,34371,35644,31285,30392,38464,15328,28391,23554,31219,28391,23554,31219,0
123,122000,51379,16237,38262,32570,36080,32813,26863,38974,20296,29833,23198,30265,29833,23198,30265,0
124,123000,55322,17288,34813,30961,36142,34826,23913,38557,26295,31201,23046,28845,31201,23046,28845,0
125,124000,57361,19008,31422,29695,35823,37142,21822,37255,32749,32367,23110,27093,32367,23110,27093,0
126,125000,57306,21218,28430,28877,35152,39558,20791,35194,39036,33224,23388,25165,33224,23388,25165,0
127,126000,55157,23700,26133,28595,34206,41806,20929,32578,44516,33681,23849,23267,33681,23849,23267,0
128,127000,51101,26223,24755,28883,33076,43657,22218,29666,48661,33700,24445,21587,33700,24445,21587,0
129,128000,45559,28535,24421,29717,31858,44956,24534,26732,51079,33270,25125,20279,33270,25125,20279,0
130,129000,39084,30406,25167,31004,30678,45577,27650,24072,51519,32437,25820,19474,32437,25820,19474,0
131,130000,32289,31653,26930,32610,29665,45447,31255,21950,49943,31290,26458,19248,31290,26458,19248,0
132,131000,25833,32158,29534,34397,28908,44573,35006,20564,46505,29933,26979,19628,29933,26979,19628,0
133,132000,20365,31874,32713,36195,28473,43047,38534,20054,41537,28493,27334,20581,28493,27334,20581,0
134,133000,16421,30823,36162,37803,28411,41035,41485,20471,35538,27125,27487,22001,27125,27487,22001,0
