1,0,37441,21625,41953,32170,52109,10200,21750,61090,14412,42080,3173,55516,42080,3173,55516,0
2,1000,37441,21625,41953,26839,54846,12261,14939,60886,21261,51344,2387,46998,51344,2387,46998,0
3,2000,37441,21625,41953,21692,56216,15545,9756,58301,28920,58767,4696,37100,58767,4696,37100,0
4,3000,37441,21625,41953,17154,56077,19807,6703,53586,36647,63655,9880,26752,63655,9880,26752,0
5,4000,37441,21625,41953,13668,54480,24583,6076,47203,43687,65534,17420,16984,65534,17420,16984,0
6,5000,37441,21625,41953,11609,51618,29335,7937,39792,49332,64206,26545,8800,64206,26545,8800,0
7,6000,37441,21625,41953,11191,47681,33680,12111,32055,53046,59791,36421,2950,59791,36421,2950,0
8,7000,37441,21625,41953,12453,43060,37194,18186,24752,54472,52726,46077,0,52726,46077,0,0
9,8000,37441,21625,41953,15197,38294,39523,25558,18615,53460,43736,54518,255,43736,54518,255,0
10,9000,37441,21625,41953,19208,33826,40410,33518,14233,50110,33669,60938,3698,33669,60938,3698,0
11,10000,37441,21625,41953,24170,30027,39761,41295,12029,44747,23477,64739,10000,23477,64739,10000,0
12,11000,37441,21625,41953,29493,27291,37707,48109,12226,37902,14213,65534,18510,14213,65534,18510,0
13,12000,37441,21625,41953,34635,25918,34431,53300,14803,30243,6783,63234,28405,6783,63234,28405,0
14,13000,37441,21625,41953,39173,26047,30180,56362,19515,22510,1886,58056,38756,1886,58056,38756,0
15,14000,37441,21625,41953,42665,27634,25407,56994,25899,15466,0,50520,48528,0,50520,48528,0
16,15000,37441,21625,41953,44735,30494,20648,55136,33317,9810,1320,41388,56727,1320,41388,56727,0
17,16000,37441,21625,41953,45158,34426,16302,50958,41061,6092,5737,31506,62581,5737,31506,62581,0
18,17000,37441,21625,41953,43907,39052,12774,44876,48370,4668,12807,21841,65534,12807,21841,65534,0
19,18000,37441,21625,41953,41160,43825,10441,37496,54512,5682,21807,13392,65279,21807,13392,65279,0
20,19000,37441,21625,41953,37144,48301,9550,29530,58891,9040,31881,6973,61827,31881,6973,61827,0
21,20000,37441,21625,41953,32171,52111,10198,21750,61090,14413,42080,3173,55516,42080,3173,55516,0
22,21000,37441,21625,41953,26839,54845,12261,14939,60886,21262,51344,2387,46997,51344,2387,46997,0
23,22000,37441,21625,41953,21692,56215,15546,9756,58301,28919,58766,4696,37100,58766,4696,37100,0
24,23000,37441,21625,41953,17155,56078,19805,6703,53586,36648,63655,9881,26751,63655,9881,26751,0
25,24000,37441,21625,41953,13668,54480,24584,6076,47203,43687,65534,17420,16983,65534,17420,16983,0
26,25000,37441,21625,41953,11609,51618,29336,7938,39792,49331,64206,26545,8800,64206,26545,8800,0
27,26000,37441,21625,41953,11192,47682,33679,12111,32055,53047,59792,36421,2949,59792,36421,2949,0
28,27000,37441,21625,41953,12453,43060,37194,18186,24752,54472,52726,46078,0,52726,46078,0,0
29,28000,37441,21625,41953,15196,38294,39523,25558,18616,53459,43735,54518,255,43735,54518,255,0
30,29000,37441,21625,41953,19208,33826,40410,33518,14233,50110,33670,60938,3698,33670,60938,3698,0
31,30000,37441,21625,41953,24171,30027,39761,41295,12028,44747,23477,64739,10000,23477,64739,10000,0
32,31000,37441,21625,41953,29493,27291,37707,48110,12226,37902,14213,65534,18511,14213,65534,18511,0
33,32000,37441,21625,41953,34635,25918,34430,53300,14803,30243,6783,63234,28405,6783,63234,28405,0
34,33000,37441,21625,41953,39173,26047,30180,56362,19515,22510,1886,58056,38756,1886,58056,38756,0
35,34000,37441,21625,41953,42665,27635,25407,56994,25899,15466,0,50519,48528,0,50519,48528,0
36,35000,37441,21625,41953,44735,30494,20648,55136,33317,9810,1320,41388,56727,1320,41388,56727,0
