"Time","Subsystem #1|Branch Currents|IaLine","Subsystem #1|Branch Currents|IbLine","Subsystem #1|Branch Currents|IcLine","Subsystem #1|CTLs|Inputs|LG_FLT"
0.0,0.1872643634,-0.2866991931,0.09943486243,0.0
0.001,0.2471386602,-0.2570438899,0.009905268915,0.0
0.002,0.2826141696,-0.2020497564,-0.0805643714,0.0
0.003,0.2904244833,-0.1272309551,-0.1631934878,0.0
0.004,0.2697831214,-0.0399946384,-0.229788448,0.0
0.005,0.2225540003,0.05119155951,-0.2737455336,0.0
0.006,0.1536748184,0.137207721,-0.2908825246,0.0
0.007,0.06961795126,0.2097878061,-0.2794057554,0.0
0.008,-0.02098678124,0.2616874288,-0.2407006586,0.0
0.009,-0.1095269646,0.2879892552,-0.1784623136,0.0
0.01,-0.1872748745,0.2861133564,-0.0988385146,0.0
0.011,-0.2466962401,0.2563272625,-0.009631061556,0.0
0.012,-0.2818938134,0.2014661781,0.08042759343,0.0
0.013,-0.2895174356,0.1269185451,0.1625988502,0.0
0.014,-0.2693133785,0.04022381321,0.2290895303,0.0
0.015,-0.2222985327,-0.05073941541,0.273037922,0.0
0.016,-0.1539896243,-0.1365370055,0.290526615,0.0
0.017,-0.07011738037,-0.2093558193,0.2794731977,0.0
0.018,0.02038780158,-0.2615366132,0.2411488227,0.0
0.019,0.1091724002,-0.2882926554,0.1791202782,0.0
0.02,0.1872613687,-0.2867000064,0.09943867042,0.0
0.021,0.2471310228,-0.2570510955,0.009920111925,0.0
0.022,0.282610114,-0.2020523159,-0.08055775623,0.0
0.023,0.2904173742,-0.1272352869,-0.1631820468,0.0
0.024,0.2697800752,-0.03999270274,-0.2297873374,0.0
0.025,0.222546357,0.05118708884,-0.2737334197,0.0
0.026,0.1536708303,0.1372115373,-0.2908823528,0.0
0.027,0.06961340277,0.2097867418,-0.2794001427,0.0
0.028,-0.02099005458,0.2616893924,-0.2406993489,0.0
0.029,-0.1095281235,0.2879897778,-0.1784616773,0.0
0.03,-0.1872774595,0.2861119682,-0.09883454138,0.0
0.031,-0.2466971036,0.2563257996,-0.009628735124,0.0
0.032,-0.2818951689,0.2014644099,0.08043071723,0.0
0.033,-0.2895166203,0.1269150281,0.1626015519,0.0
0.034,-0.2693123326,0.04022152612,0.2290907716,0.0
0.035,-0.2222954135,-0.0507434219,0.2730388093,0.0
0.036,-0.1539873727,-0.1365410416,0.2905283995,0.0
0.037,-0.07011354174,-0.2093581412,0.279471681,0.0
0.038,0.02039077829,-0.261538967,0.2411481998,0.0
0.039,0.1091754364,-0.2882927878,0.1791173743,0.0
0.04,0.1872634974,-0.2866985059,0.0994350412,0.0
