"Time","Subsystem #1|Branch Currents|IaLine","Subsystem #1|Branch Currents|IbLine","Subsystem #1|Branch Currents|IcLine","Subsystem #1|CTLs|Inputs|LG_FLT"
0.0,0.289859415,-0.1661769863,-0.123682387,0.0
2.5E-4,0.290819389,-0.1469039785,-0.1439153694,0.0
5.0E-4,0.290130426,-0.1267929631,-0.1633374225,0.0
7.5E-4,0.2878193932,-0.1059521559,-0.1818671979,0.0
0.001,0.2834910541,-0.08433880136,-0.1991522145,0.0
0.00125,0.2773152998,-0.06220299504,-0.215112268,0.0
0.0015,0.269464932,-0.03967359557,-0.2297913014,0.0
0.00175,0.2600494926,-0.01693042367,-0.2431190358,0.0
0.002,0.2490086242,0.005924268751,-0.254932862,0.0
0.00225,0.2363448812,0.02875087375,-0.2650957262,0.0
0.0025,0.2222763436,0.05138670754,-0.2736630249,0.0
0.00275,0.2069660559,0.07365616311,-0.2806221955,0.0
0.003,0.1903568452,0.09549778442,-0.2858546089,0.0
0.00325,0.1724921183,0.1167509187,-0.2892430192,0.0
0.0035,0.1534670372,0.1373435727,-0.2908105951,0.0
0.00375,0.1336100323,0.1570485802,-0.2906586008,0.0
0.004,0.1129603958,0.1757776904,-0.2887380777,0.0
0.00425,0.09149686466,0.1934427046,-0.2849395641,0.0
0.0045,0.06944741211,0.2099154623,-0.2793628725,0.0
0.00475,0.04705564709,0.2250883661,-0.2721440145,0.0
0.005,0.02447791808,0.2388382323,-0.263316155,0.0
0.00525,0.001728335852,0.2510972293,-0.252825573,0.0
0.0055,-0.02118049025,0.261861393,-0.2406809138,0.0
0.00575,-0.04392515954,0.2710185765,-0.2270934312,0.0
0.006,-0.06629005511,0.2784683813,-0.2121783434,0.0
0.00625,-0.08827628589,0.2842115872,-0.1959353215,0.0
0.0065,-0.1097982076,0.2882015941,-0.1784034095,0.0
0.00675,-0.1306228124,0.2904149945,-0.1597922078,0.0
0.007,-0.1505604847,0.2908304345,-0.140269978,0.0
0.00725,-0.1695983521,0.2894714016,-0.11987308,0.0
0.0075,-0.1876464131,0.2863107517,-0.09866437124,0.0
0.00775,-0.2045239486,0.2813907269,-0.07686681295,0.0
0.008,-0.2197698597,0.2745703635,-0.05480054008,0.0
0.00825,-0.2340259861,0.2662558246,-0.03222987637,0.0
0.0085,-0.2471259218,0.2564230729,-0.009297190227,0.0
0.00875,-0.2586142047,0.2449463253,0.01366783916,0.0
0.009,-0.2681067681,0.2317752025,0.03633152463,0.0
0.00925,-0.27599635,0.2172301289,0.05876617965,0.0
0.0095,-0.2822977552,0.2013761746,0.08092153879,0.0
0.00975,-0.2871493387,0.1844173922,0.1027319048,0.0
0.01,-0.2897036341,0.1660627631,0.1236408295,0.0
0.01025,-0.2904695069,0.1467038119,0.1437656539,0.0
0.0105,-0.2897781491,0.1265945022,0.1631836066,0.0
0.01075,-0.2876872302,0.1058860822,0.1818011087,0.0
0.011,-0.2834184812,0.08433148728,0.1990869559,0.0
0.01125,-0.2772938568,0.06224004851,0.2150537717,0.0
0.0115,-0.2693438061,0.0396800537,0.2296637174,0.0
0.01175,-0.2600378899,0.01698407842,0.2430537784,0.0
0.012,-0.2489783605,-0.005853292468,0.2548316221,0.0
0.01225,-0.2362213578,-0.02871030546,0.2649316347,0.0
0.0125,-0.222042659,-0.05140659873,0.2734492316,0.0
0.01275,-0.206855501,-0.07361110348,0.2804665811,0.0
0.013,-0.19033397,-0.0954159969,0.2857499462,0.0
0.01325,-0.1725877993,-0.1166036144,0.2891913959,0.0
0.0135,-0.1534862132,-0.1371992056,0.2906854042,0.0
0.01375,-0.1337001875,-0.1569020608,0.2906022368,0.0
0.014,-0.1130974533,-0.175606381,0.2887038258,0.0
0.01425,-0.09161477663,-0.1932886019,0.2849033733,0.0
0.0145,-0.06944326768,-0.2098454832,0.2792887491,0.0
0.01475,-0.04706125194,-0.2250291921,0.2720904455,0.0
0.015,-0.02453328914,-0.2387843195,0.2633176133,0.0
0.01525,-0.001904525734,-0.2509981984,0.2529027321,0.0
0.0155,0.02106473335,-0.2617789963,0.2407142742,0.0
0.01575,0.04383929044,-0.2709742683,0.2271349922,0.0
0.016,0.06619022424,-0.2784350572,0.2122448504,0.0
0.01625,0.08812212995,-0.2841731938,0.1960510842,0.0
0.0165,0.1097299174,-0.2882224083,0.178492514,0.0
0.01675,0.1305644554,-0.2904626513,0.1598982216,0.0
0.017,0.150524782,-0.2909054753,0.1403807216,0.0
0.01725,0.1694982333,-0.2895341076,0.120035905,0.0
0.0175,0.1875838942,-0.2863825724,0.09879871101,0.0
0.01775,0.2045183221,-0.2814871394,0.07696885197,0.0
0.018,0.2199669806,-0.2747764445,0.05480950042,0.0
0.01825,0.2342362274,-0.2664714947,0.0322353053,0.0
0.0185,0.247197701,-0.2565668006,0.00936913881,0.0
0.01875,0.2585902305,-0.2450438955,-0.01354629461,0.0
0.019,0.2681525444,-0.231894,-0.03625850328,0.0
0.01925,0.2760749495,-0.2173702524,-0.05870465548,0.0
0.0195,0.2824554474,-0.2015357589,-0.08091964651,0.0
0.01975,0.2871551351,-0.1844752727,-0.1026798204,0.0
0.02,0.2898561411,-0.1661790701,-0.1236770292,0.0
0.02025,0.290818193,-0.1469026548,-0.143915497,0.0
0.0205,0.2901367685,-0.1267850443,-0.1633516838,0.0
0.02075,0.2878186714,-0.1059531914,-0.1818654405,0.0
0.021,0.28349003,-0.0843408462,-0.1991491456,0.0
0.02125,0.2773099101,-0.06220871371,-0.2151011597,0.0
0.0215,0.2694659533,-0.03967170636,-0.2297942119,0.0
0.02175,0.2600483024,-0.01693120852,-0.2431170607,0.0
0.022,0.2490075128,0.005924071295,-0.2549315531,0.0
0.02225,0.2363422027,0.02875059427,-0.2650927682,0.0
0.0225,0.2222812559,0.05139449107,-0.2736757208,0.0
0.02275,0.2069689739,0.0736602922,-0.2806292425,0.0
